code;name;success_measures
1;Increase Consumed Revenue;Consumsed revenue increase amount
2;Intelligent Enterprise adoption KPI;Drive customers to adopt 3 or more Intelligent Enterprise services (IAS, E-SAC, Integration Suite, Task Centre, Workflow, Master Data Integration)
3;Portfolio Success;Customer Leveraging services from 2 or more Categories: (1. App Dev, 2. Digital Experience, 3. Process Automation, 4. Integration Suite, 5. Planning and Analytics, 6. Database and Data Management
4;Customer Advocacy;
5;Go-Lives;Supporting a customer to Go-Live. Customer Use Case/Scenario to be captured in Asset Repository/Relevant tools to be updated
6;Revenue Safeguarding/Expansion;Safeguarding revenue (ACV) / Expanding Revenue
